Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jessica Adair,MIN,C,31,321,31,1,10.4,1.6,3.3,.485,0.0,0.0,,1.6,3.3,.485,1.0,1.6,.653,1.4,2.9,0.3,0.3,0.6,0.9,1.6,4.3
Danielle Adams,SAS,F-C,23,480,23,0,20.9,4.3,10.0,.430,1.5,4.3,.350,2.8,5.7,.492,2.3,3.1,.746,1.5,4.3,0.6,0.5,0.7,1.2,2.6,12.4
Matee Ajavon,WAS,G,34,1065,34,33,31.3,5.1,13.1,.391,1.1,3.9,.276,4.0,9.1,.441,3.4,4.1,.829,0.9,2.4,3.1,1.7,0.3,3.1,3.2,14.7
Nicky Anosike,WAS,F-C,34,924,34,29,27.2,2.2,6.4,.347,0.0,0.0,.000,2.2,6.3,.349,2.6,3.6,.736,2.4,7.2,1.4,1.4,0.8,1.7,2.6,7.0
Jayne Appel-Marinelli,SAS,C,31,452,31,0,14.6,1.4,2.9,.472,0.0,0.1,.333,1.3,2.8,.477,0.5,0.8,.560,1.3,4.6,0.8,0.5,0.6,0.7,2.2,3.2
Seimone Augustus*,MIN,G-F,34,997,34,34,29.3,6.8,13.5,.504,0.7,1.8,.417,6.1,11.7,.518,1.9,2.2,.865,0.6,3.5,2.2,0.9,0.4,1.3,1.2,16.2
Miranda Ayim,TUL,F,3,42,3,0,14.0,1.3,3.0,.444,0.0,0.0,,1.3,3.0,.444,0.0,0.7,.000,1.3,2.3,0.7,0.7,0.3,1.3,2.3,2.7
Alison Bales,ATL,C,34,687,34,15,20.2,2.1,4.2,.486,0.2,0.5,.353,1.9,3.7,.504,0.7,0.9,.750,1.0,4.7,1.2,0.4,1.6,0.5,1.6,5.0
Tully Bevilaqua,SAS,G,34,494,34,25,14.5,1.1,2.4,.451,0.4,1.2,.286,0.7,1.2,.625,0.4,0.5,.722,0.3,1.4,1.6,0.7,0.1,0.7,0.9,2.9
Sue Bird*,SEA,G,34,1123,34,34,33.0,5.4,12.0,.449,2.1,4.9,.428,3.3,7.1,.463,1.9,2.1,.875,0.4,2.9,4.9,1.4,0.2,2.4,1.3,14.7
Angie Bjorklund,CHI,F,7,43,7,0,6.1,0.3,1.6,.182,0.1,0.7,.200,0.1,0.9,.167,0.4,0.4,1.000,0.0,0.3,0.3,0.1,0.0,0.3,1.1,1.1
Shannon Bobbitt,IND,G,31,439,31,3,14.2,1.3,3.7,.357,0.5,1.4,.386,0.8,2.3,.338,0.7,1.0,.767,0.4,1.3,1.7,1.0,0.0,1.2,1.1,3.9
DeWanna Bonner,PHO,G-F,34,857,34,5,25.2,3.5,8.2,.430,1.0,3.0,.343,2.5,5.2,.480,2.6,2.9,.909,1.8,7.0,0.8,1.0,1.1,1.0,1.8,10.7
Rebekkah Brunson,MIN,F,34,938,34,34,27.6,4.0,7.9,.511,0.0,0.0,,4.0,7.9,.511,2.2,3.3,.667,2.8,8.9,1.2,0.8,0.5,1.5,2.1,10.2
Liz Cambage,TUL,C,33,659,33,11,20.0,4.1,7.9,.511,0.0,0.2,.000,4.1,7.8,.521,3.4,4.3,.794,1.6,4.7,0.5,0.8,0.9,2.4,2.9,11.5
Dominique Canty,CHI,G,22,331,22,8,15.0,1.6,5.0,.318,0.0,0.3,.143,1.5,4.7,.330,0.9,1.5,.576,0.4,1.2,2.0,0.5,0.1,1.5,1.7,4.1
Essence Carson,NYL,G,32,725,32,5,22.7,4.3,9.9,.437,0.8,1.9,.387,3.6,8.0,.449,1.8,2.5,.738,1.0,2.8,1.7,1.2,0.6,1.4,1.9,11.3
Swin Cash*,SEA,F,34,1128,34,34,33.2,4.4,11.2,.396,1.0,3.6,.285,3.4,7.6,.450,3.4,4.0,.846,1.5,6.9,2.4,0.9,0.6,2.8,2.9,13.3
Iziane Castro Marques,ATL,F-G,34,672,34,14,19.8,2.9,8.1,.360,0.5,2.4,.213,2.4,5.7,.421,1.3,2.1,.620,0.4,1.7,1.7,0.4,0.1,1.6,1.1,7.6
Tamika Catchings*,IND,F,33,1040,33,33,31.5,5.1,11.6,.438,1.0,2.8,.348,4.1,8.8,.466,4.3,4.9,.883,1.9,7.1,3.5,2.0,0.9,2.2,2.1,15.5
Tina Charles,CON,C,34,1136,34,34,33.4,7.5,16.0,.468,0.0,0.1,.000,7.5,15.9,.470,2.7,3.9,.687,3.7,11.0,1.9,0.8,1.8,2.2,2.6,17.6
Joy Cheek,WAS,F,3,16,3,0,5.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,0.3,0.3,1.000,0.0,1.0,0.0,0.0,0.3,0.7,0.7,1.0
Felicia Chester,NYL,F,4,27,4,0,6.8,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,0.0,0.5,.000,1.0,2.0,0.0,0.3,0.0,0.0,1.0,0.5
Marissa Coleman,WAS,G-F,34,918,34,28,27.0,3.1,8.2,.385,1.6,4.2,.368,1.6,3.9,.403,0.7,1.1,.676,1.4,4.8,1.4,0.7,0.4,1.6,2.4,8.6
Sydney Colson,NYL,G,16,86,16,0,5.4,0.4,1.3,.350,0.2,0.4,.429,0.3,0.8,.308,0.3,0.4,.833,0.0,0.4,0.6,0.3,0.1,1.1,0.6,1.4
Monique Currie,WAS,F,4,77,4,1,19.3,3.8,8.8,.429,0.3,2.0,.125,3.5,6.8,.519,4.0,4.0,1.000,1.8,4.3,1.0,1.8,0.0,2.5,2.8,11.8
Jessica Davenport,IND,C,34,717,34,8,21.1,4.3,8.1,.529,0.0,0.1,.000,4.3,8.0,.535,2.1,3.1,.702,1.5,4.8,0.5,0.8,1.3,1.6,2.3,10.7
Erika de Souza,ATL,F-C,32,877,32,32,27.4,5.3,10.7,.499,0.0,0.0,.000,5.3,10.7,.500,1.1,1.7,.655,2.6,7.5,1.0,1.2,1.3,1.8,2.9,11.8
Scholanda Dorrell,SAS,G,32,518,32,22,16.2,1.6,4.8,.335,0.6,1.7,.340,1.1,3.2,.333,1.0,1.4,.705,0.3,1.5,0.4,0.7,0.2,0.6,1.6,4.8
Katie Douglas,IND,G-F,32,940,32,32,29.4,5.2,11.2,.465,2.1,4.7,.440,3.1,6.5,.483,1.5,2.2,.671,1.0,3.9,2.8,1.3,0.3,2.0,1.5,13.9
Victoria Dunlap,WAS,F,26,219,26,3,8.4,1.0,2.2,.439,0.0,0.1,.500,0.9,2.1,.436,0.3,0.7,.471,0.7,1.7,0.4,0.7,0.2,0.6,0.7,2.3
Candice Dupree,PHO,F,34,1075,34,34,31.6,5.8,10.6,.548,0.0,0.2,.167,5.8,10.4,.555,2.9,3.4,.852,2.5,8.2,1.8,0.6,0.7,2.0,2.2,14.6
Shyra Ely-Gash,IND,F,33,355,33,0,10.8,1.2,3.3,.358,0.2,0.7,.208,1.0,2.6,.400,0.6,0.9,.690,0.6,2.2,0.3,0.2,0.2,0.8,1.4,3.1
Marie Ferdinand-Harris,PHO,G,34,593,34,2,17.4,2.6,7.6,.335,0.5,1.6,.333,2.0,6.1,.335,1.1,1.1,.974,0.4,1.5,1.1,0.6,0.2,1.3,1.8,6.8
Sylvia Fowles*,CHI,C,34,1175,34,34,34.6,7.7,13.1,.591,0.0,0.0,,7.7,13.1,.591,4.5,5.9,.766,2.9,10.2,0.6,1.2,2.0,2.8,2.5,20.0
Kerri Gardin,WAS,F,28,391,28,5,14.0,0.5,2.1,.237,0.0,0.3,.000,0.5,1.8,.275,0.5,1.0,.517,0.8,2.7,1.0,0.9,0.5,0.9,1.4,1.5
Alexis Gray-Lawson,PHO,G,27,308,27,0,11.4,1.2,3.1,.398,0.6,1.6,.349,0.7,1.5,.450,0.9,1.0,.821,0.2,0.7,1.3,0.2,0.0,0.8,1.1,3.9
Kalana Greene,CON,G,33,781,33,33,23.7,2.1,5.0,.422,0.5,1.4,.391,1.6,3.6,.433,0.8,1.4,.600,0.8,3.8,1.5,0.9,0.4,0.9,1.7,5.6
Kelsey Griffin,CON,F,34,441,34,2,13.0,1.2,3.4,.357,0.1,0.7,.167,1.1,2.7,.407,1.1,1.5,.731,1.3,3.1,0.5,0.7,0.3,0.4,1.2,3.6
Becky Hammon*,SAS,G,33,1050,33,33,31.8,5.3,12.1,.440,2.3,5.8,.389,3.1,6.3,.488,3.0,3.4,.892,0.2,2.9,5.8,1.5,0.2,3.6,1.5,15.9
Lindsey Harding,ATL,G,34,1037,34,33,30.5,4.1,9.1,.455,0.3,1.0,.303,3.9,8.1,.473,1.9,2.6,.733,0.5,3.2,4.8,1.0,0.2,2.4,1.8,10.5
Amber Harris,MIN,F,27,278,27,0,10.3,1.2,3.1,.398,0.0,0.0,,1.2,3.1,.398,0.9,1.1,.742,0.9,2.2,0.4,0.1,0.4,0.5,1.2,3.3
Allison Hightower,CON,G,25,231,25,2,9.2,0.8,2.2,.339,0.2,0.7,.222,0.6,1.5,.395,0.4,0.5,.750,0.2,0.6,0.5,0.4,0.0,0.3,0.9,2.0
Doneeka Lewis,TUL,G,5,101,5,2,20.2,2.4,8.6,.279,1.4,5.2,.269,1.0,3.4,.294,0.0,0.0,,0.6,2.2,2.8,0.8,0.2,2.6,1.4,6.2
Roneeka Hodges,SAS,G,28,273,28,5,9.8,1.3,3.2,.404,1.1,2.9,.400,0.1,0.3,.444,0.2,0.2,1.000,0.1,1.3,0.5,0.2,0.1,0.1,0.4,3.9
Ebony Hoffman,LAS,F,34,752,34,16,22.1,2.9,6.5,.437,0.7,1.6,.429,2.1,4.9,.440,1.1,1.3,.844,1.3,4.2,1.1,1.1,0.3,1.5,2.3,7.5
Quanitra Hollingsworth,NYL,C,31,524,31,1,16.9,1.7,3.3,.524,0.0,0.0,,1.7,3.3,.524,1.2,1.7,.679,1.7,4.4,0.3,0.5,0.3,1.4,2.5,4.6
Amber Holt,TUL,F,26,666,26,24,25.6,2.3,7.8,.302,0.6,2.7,.214,1.8,5.1,.348,1.5,1.6,.905,1.1,3.1,2.4,0.7,0.1,1.3,2.2,6.7
Alexis Hornbuckle,MIN,G,29,208,29,0,7.2,0.4,1.1,.375,0.2,0.6,.294,0.2,0.5,.467,0.1,0.1,.500,0.2,1.1,0.6,0.3,0.1,0.7,1.0,1.1
Charde Houston,MIN,F,27,210,27,0,7.8,1.1,3.1,.365,0.2,0.9,.261,0.9,2.3,.403,0.3,0.4,.750,0.4,1.7,0.5,0.3,0.1,0.8,1.3,2.9
