Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,18,364,18,11,20.2,3.2,6.4,.496,0.0,0.6,.000,3.2,5.8,.543,1.4,1.8,.813,1.4,5.5,1.7,0.5,0.6,1.8,2.6,7.8
Jaylyn Agnew,ATL,F,12,71,12,0,5.9,0.3,1.3,.267,0.3,1.1,.231,0.1,0.2,.500,0.3,0.4,.800,0.0,0.4,0.3,0.0,0.0,0.4,0.6,1.3
Bella Alarie,DAL,C-F,22,309,22,3,14.0,1.1,3.0,.364,0.0,0.6,.077,1.0,2.4,.434,0.5,0.5,.833,1.0,2.9,0.5,0.6,0.8,0.5,1.6,2.7
Kayla Alexander,MIN,C,16,89,16,0,5.6,1.0,1.9,.533,0.0,0.0,,1.0,1.9,.533,0.3,0.5,.625,0.6,0.9,0.2,0.1,0.2,0.4,0.9,2.3
Julie Allemand,IND,G,22,716,22,22,32.5,2.8,6.1,.455,2.0,4.2,.478,0.8,1.9,.405,1.0,1.4,.733,0.4,4.5,5.8,1.1,0.4,2.6,2.6,8.5
Lindsay Allen,LVA,G,21,284,21,21,13.5,1.3,3.1,.424,0.3,0.8,.353,1.0,2.3,.449,0.4,0.5,.800,0.3,1.1,2.4,0.3,0.0,0.8,1.0,3.3
Kristine Anigwe,LAS,F-C,17,197,17,1,11.6,1.9,3.1,.604,0.0,0.0,,1.9,3.1,.604,0.8,1.5,.538,1.1,2.6,0.2,0.6,0.4,0.9,1.9,4.6
Ariel Atkins,WAS,G,22,682,22,22,31.0,5.0,11.4,.438,2.0,4.9,.411,3.0,6.5,.458,2.8,3.2,.886,0.8,2.9,2.4,1.8,0.2,1.9,2.6,14.8
Seimone Augustus*,LAS,G-F,21,332,21,0,15.8,2.6,5.2,.491,0.6,1.0,.545,2.0,4.2,.477,0.2,0.3,.667,0.1,1.8,1.2,0.6,0.1,0.4,1.0,5.9
Rachel Banham,MIN,G,20,339,20,1,17.0,2.4,5.2,.462,1.3,2.7,.472,1.2,2.6,.451,0.8,1.0,.800,0.1,1.3,2.4,0.5,0.1,1.0,2.0,6.9
